ip,resolver_name
185.228.168.168,CleanBrowsing
1.1.1.1,Cloudflare
8.8.8.8,Google
208.67.222.123,OpenDNS
185.121.177.177,OpenNIC
9.9.9.9,Quad9
64.6.64.6,VeriSign
77.88.8.8,Yandex
156.154.70.1,Neustar
2a0d:2a00:1::1,CleanBrowsing
2606:4700:4700::1111,Cloudflare
2001:4860:4860::8888,Google
2620:0:ccc::2,OpenDNS
2a05:dfc7:5::5353,OpenNIC
2620:fe::9,Quad9
2620:74:1b::1:1,VeriSign
2a02:6b8::feed:ff,Yandex
2610:a1:1018::1,Neustar
1.0.0.1,Cloudflare
2606:4700:4700::1001,Cloudflare
2001:4860:4860::8844,Google
8.8.4.4,Google
208.67.220.220,OpenDNS
208.67.222.220,OpenDNS
208.67.222.222,OpenDNS
2620:0:ccd::2,OpenDNS
149.112.112.112,Quad9
2620:fe::10,Quad9
2620:fe::fe,Quad9
9.9.9.10,Quad9
156.154.70.5,Neustar
185.228.168.168,CleanBrowsing
185.228.169.168,CleanBrowsing
185.228.168.10,CleanBrowsing
185.228.169.11,CleanBrowsing
185.228.168.9,CleanBrowsing
185.228.169.9,CleanBrowsing
2a0d:2a00:1::,CleanBrowsing
2a0d:2a00:2::,CleanBrowsing
2a0d:2a00:1::1,CleanBrowsing
2a0d:2a00:2::1,CleanBrowsing
2a0d:2a00:1::2,CleanBrowsing
2a0d:2a00:2::2,CleanBrowsing
1.1.1.1,Cloudflare
1.0.0.1,Cloudflare
2606:4700:4700::1111,Cloudflare
2606:4700:4700::1001,Cloudflare
2606:4700:4700::64,Cloudflare
2606:4700:4700::6400,Cloudflare
8.8.8.8,Google
8.8.4.4,Google
2001:4860:4860::8888,Google
2001:4860:4860::8844,Google
2001:4860:4860::6464,Google
2001:4860:4860::64,Google
156.154.70.1,Neustar
156.154.71.1,Neustar
156.154.70.2,Neustar
156.154.71.2,Neustar
156.154.70.3,Neustar
156.154.71.3,Neustar
156.154.70.4,Neustar
156.154.71.4,Neustar
156.154.70.5,Neustar
156.154.71.5,Neustar
2610:a1:1018::1,Neustar
2610:a1:1019::1,Neustar
2610:a1:1018::2,Neustar
2610:a1:1019::2,Neustar
2610:a1:1018::3,Neustar
2610:a1:1019::3,Neustar
2610:a1:1018::4,Neustar
2610:a1:1019::4,Neustar
2610:a1:1018::5,Neustar
2610:a1:1019::5,Neustar
208.67.222.222,OpenDNS
208.67.220.220,OpenDNS
208.67.222.123,OpenDNS
208.67.220.123,OpenDNS
2620:119:35::35,OpenDNS
2620:119:53::53,OpenDNS
2620:0:ccc::2,OpenDNS
2620:0:ccd::2,OpenDNS
185.121.177.177,OpenNIC
169.239.202.202,OpenNIC
2a05:dfc7:5::53,OpenNIC
2a05:dfc7:5::5353,OpenNIC
9.9.9.9,Quad9
149.112.112.112,Quad9
9.9.9.10,Quad9
149.112.112.10,Quad9
2620:fe::fe,Quad9
2620:fe::9,Quad9
2620:fe::10,Quad9
2620:fe::fe:10,Quad9
64.6.64.6,VeriSign
64.6.65.6,VeriSign
2620:74:1b::1:1,VeriSign
2620:74:1c::2:2,VeriSign
77.88.8.1,Yandex
77.88.8.8,Yandex
77.88.8.2,Yandex
77.88.8.88,Yandex
77.88.8.3,Yandex
77.88.8.7,Yandex
2a02:6b8::feed:ff,Yandex
2a02:6b8:0:1::feed:ff,Yandex
2a02:6b8::feed:bad,Yandex
2a02:6b8:0:1::feed:bad,Yandex
2a02:6b8::feed:a11,Yandex
2a02:6b8:0:1::feed:a11,Yandex